"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"54"	"zg6614hmB1.9E6.fastq"	"14.5m B"	"TIMEPOINT"	NA	"B"	""	NA
"55"	NA	NA	NA	NA	NA	NA	NA
"56"	"zg6614hmMo.fastq"	"14.5m Mono"	"TIMEPOINT"	NA	"Mono"	""	NA
"57"	"zg6614hmGrGFPp.fastq"	"14.5m Gr"	"TIMEPOINT"	NA	"Gr"	""	NA
"58"	"zg6617mT.fastq"	"17m T"	"TIMEPOINT"	NA	"T"	""	NA
"59"	"zg6617mB.fastq"	"17m B"	"TIMEPOINT"	NA	"B"	""	NA
"60"	NA	NA	NA	NA	NA	NA	NA
"61"	"zg6617mMo.fastq"	"17m Mono"	"TIMEPOINT"	NA	"Mono"	""	NA
"62"	"zg6617mGr.fastq"	"17m Gr"	"TIMEPOINT"	NA	"Gr"	""	NA
"63"	"zg6624mTJoy.fastq"	"24m T"	"TIMEPOINT"	NA	"T"	""	NA
"64"	"zg6624mBJoy.fastq"	"24m B"	"TIMEPOINT"	NA	"B"	""	NA
"65"	NA	NA	NA	NA	NA	NA	NA
"66"	"zg6624mGFPpCD33p.fastq"	"24.5m Gr"	"TIMEPOINT"	NA	"Gr"	""	NA
"67"	"zg6622mBCD804.fastq"	"22m B"	"TIMEPOINT"	NA	"B"	""	NA
"68"	"zg6622mGFPpGrCD807.fastq"	"22m Gr"	"TIMEPOINT"	NA	"Gr"	""	NA
"69"	NA	NA	NA	NA	NA	NA	NA
"70"	"zg6622mMonoCD805.fastq"	"22m Mono"	"TIMEPOINT"	NA	"Mono"	""	NA
"71"	"zg6622mTCD803.fastq"	"22m T"	"TIMEPOINT"	NA	"T"	""	NA
"72"	NA	NA	NA	NA	NA	NA	NA
"73"	NA	NA	NA	NA	NA	NA	NA
"74"	NA	NA	NA	NA	NA	NA	NA
"75"	NA	NA	NA	NA	NA	NA	NA
"76"	NA	NA	NA	NA	NA	NA	NA
"77"	NA	NA	NA	NA	NA	NA	NA
"78"	NA	NA	NA	NA	NA	NA	NA
"79"	NA	NA	NA	NA	NA	NA	NA
"80"	NA	NA	NA	NA	NA	NA	NA
"81"	NA	NA	NA	NA	NA	NA	NA
"82"	NA	NA	NA	NA	NA	NA	NA
"83"	NA	NA	NA	NA	NA	NA	NA
"84"	NA	NA	NA	NA	NA	NA	NA
"85"	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA
"91"	NA	NA	NA	NA	NA	NA	NA
"92"	NA	NA	NA	NA	NA	NA	NA
"93"	NA	NA	NA	NA	NA	NA	NA
"94"	NA	NA	NA	NA	NA	NA	NA
"95"	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA
"101"	NA	NA	NA	NA	NA	NA	NA
"102"	NA	NA	NA	NA	NA	NA	NA
"103"	NA	NA	NA	NA	NA	NA	NA
"104"	NA	NA	NA	NA	NA	NA	NA
"105"	NA	NA	NA	NA	NA	NA	NA
"106"	NA	NA	NA	NA	NA	NA	NA
"107"	NA	NA	NA	NA	NA	NA	NA
"108"	NA	NA	NA	NA	NA	NA	NA
"109"	NA	NA	NA	NA	NA	NA	NA
"110"	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA
"113"	NA	NA	NA	NA	NA	NA	NA
"114"	NA	NA	NA	NA	NA	NA	NA
"115"	NA	NA	NA	NA	NA	NA	NA
"116"	NA	NA	NA	NA	NA	NA	NA
"117"	NA	NA	NA	NA	NA	NA	NA
"118"	NA	NA	NA	NA	NA	NA	NA
"119"	NA	NA	NA	NA	NA	NA	NA
"120"	NA	NA	NA	NA	NA	NA	NA
"121"	NA	NA	NA	NA	NA	NA	NA
"122"	NA	NA	NA	NA	NA	NA	NA
"123"	NA	NA	NA	NA	NA	NA	NA
"124"	NA	NA	NA	NA	NA	NA	NA
"125"	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA
"127"	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA
"129"	NA	NA	NA	NA	NA	NA	NA
"130"	NA	NA	NA	NA	NA	NA	NA
"131"	NA	NA	NA	NA	NA	NA	NA
"132"	"zg6612mGrDNA.fastq"	"12m Gr dna"	"UNCLAS"	NA	""	""	NA
"133"	NA	NA	NA	NA	NA	NA	NA
"134"	NA	NA	NA	NA	NA	NA	NA
"135"	NA	NA	NA	NA	NA	NA	NA
"136"	NA	NA	NA	NA	NA	NA	NA
"137"	NA	NA	NA	NA	NA	NA	NA
"138"	NA	NA	NA	NA	NA	NA	NA
"139"	NA	NA	NA	NA	NA	NA	NA
"140"	NA	NA	NA	NA	NA	NA	NA
"141"	NA	NA	NA	NA	NA	NA	NA
"142"	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA
"144"	NA	NA	NA	NA	NA	NA	NA
"145"	NA	NA	NA	NA	NA	NA	NA
"146"	NA	NA	NA	NA	NA	NA	NA
"147"	NA	NA	NA	NA	NA	NA	NA
"148"	NA	NA	NA	NA	NA	NA	NA
"149"	NA	NA	NA	NA	NA	NA	NA
"150"	NA	NA	NA	NA	NA	NA	NA
"151"	NA	NA	NA	NA	NA	NA	NA
"152"	NA	NA	NA	NA	NA	NA	NA
"153"	NA	NA	NA	NA	NA	NA	NA
"154"	NA	NA	NA	NA	NA	NA	NA
"155"	NA	NA	NA	NA	NA	NA	NA
"156"	NA	NA	NA	NA	NA	NA	NA
"157"	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA
"161"	NA	NA	NA	NA	NA	NA	NA
"162"	NA	NA	NA	NA	NA	NA	NA
"163"	NA	NA	NA	NA	NA	NA	NA
"164"	NA	NA	NA	NA	NA	NA	NA
"165"	NA	NA	NA	NA	NA	NA	NA
"166"	NA	NA	NA	NA	NA	NA	NA
"167"	NA	NA	NA	NA	NA	NA	NA
"168"	NA	NA	NA	NA	NA	NA	NA
"169"	NA	NA	NA	NA	NA	NA	NA
"170"	NA	NA	NA	NA	NA	NA	NA
"171"	NA	NA	NA	NA	NA	NA	NA
"172"	NA	NA	NA	NA	NA	NA	NA
"173"	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA
"175"	NA	NA	NA	NA	NA	NA	NA
"176"	NA	NA	NA	NA	NA	NA	NA
"177"	NA	NA	NA	NA	NA	NA	NA
"178"	NA	NA	NA	NA	NA	NA	NA
"179"	NA	NA	NA	NA	NA	NA	NA
"180"	NA	NA	NA	NA	NA	NA	NA
"181"	NA	NA	NA	NA	NA	NA	NA
"182"	NA	NA	NA	NA	NA	NA	NA
"183"	NA	NA	NA	NA	NA	NA	NA
"184"	NA	NA	NA	NA	NA	NA	NA
"185"	NA	NA	NA	NA	NA	NA	NA
"186"	NA	NA	NA	NA	NA	NA	NA
"187"	NA	NA	NA	NA	NA	NA	NA
"188"	NA	NA	NA	NA	NA	NA	NA
"189"	NA	NA	NA	NA	NA	NA	NA
"190"	NA	NA	NA	NA	NA	NA	NA
"191"	NA	NA	NA	NA	NA	NA	NA
"192"	NA	NA	NA	NA	NA	NA	NA
"193"	NA	NA	NA	NA	NA	NA	NA
"194"	NA	NA	NA	NA	NA	NA	NA
"195"	NA	NA	NA	NA	NA	NA	NA
"196"	NA	NA	NA	NA	NA	NA	NA
"197"	NA	NA	NA	NA	NA	NA	NA
"198"	NA	NA	NA	NA	NA	NA	NA
"199"	NA	NA	NA	NA	NA	NA	NA
"200"	NA	NA	NA	NA	NA	NA	NA
"201"	NA	NA	NA	NA	NA	NA	NA
"202"	NA	NA	NA	NA	NA	NA	NA
"203"	NA	NA	NA	NA	NA	NA	NA
"204"	NA	NA	NA	NA	NA	NA	NA
"205"	NA	NA	NA	NA	NA	NA	NA
"206"	NA	NA	NA	NA	NA	NA	NA
"207"	NA	NA	NA	NA	NA	NA	NA
"208"	NA	NA	NA	NA	NA	NA	NA
"209"	NA	NA	NA	NA	NA	NA	NA
"210"	NA	NA	NA	NA	NA	NA	NA
"211"	NA	NA	NA	NA	NA	NA	NA
"212"	NA	NA	NA	NA	NA	NA	NA
"213"	NA	NA	NA	NA	NA	NA	NA
"214"	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA
"217"	NA	NA	NA	NA	NA	NA	NA
"218"	NA	NA	NA	NA	NA	NA	NA
"219"	NA	NA	NA	NA	NA	NA	NA
"220"	NA	NA	NA	NA	NA	NA	NA
"221"	NA	NA	NA	NA	NA	NA	NA
"222"	NA	NA	NA	NA	NA	NA	NA
"223"	NA	NA	NA	NA	NA	NA	NA
"224"	NA	NA	NA	NA	NA	NA	NA
"225"	NA	NA	NA	NA	NA	NA	NA
"226"	NA	NA	NA	NA	NA	NA	NA
"227"	NA	NA	NA	NA	NA	NA	NA
"228"	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA
"230"	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA
"232"	NA	NA	NA	NA	NA	NA	NA
"233"	NA	NA	NA	NA	NA	NA	NA
"234"	NA	NA	NA	NA	NA	NA	NA
"235"	NA	NA	NA	NA	NA	NA	NA
"236"	NA	NA	NA	NA	NA	NA	NA
"237"	NA	NA	NA	NA	NA	NA	NA
"238"	NA	NA	NA	NA	NA	NA	NA
"239"	NA	NA	NA	NA	NA	NA	NA
"240"	NA	NA	NA	NA	NA	NA	NA
"241"	NA	NA	NA	NA	NA	NA	NA
"242"	NA	NA	NA	NA	NA	NA	NA
"243"	NA	NA	NA	NA	NA	NA	NA
"244"	NA	NA	NA	NA	NA	NA	NA
"245"	NA	NA	NA	NA	NA	NA	NA
"246"	NA	NA	NA	NA	NA	NA	NA
"247"	NA	NA	NA	NA	NA	NA	NA
"248"	NA	NA	NA	NA	NA	NA	NA
"249"	NA	NA	NA	NA	NA	NA	NA
"250"	NA	NA	NA	NA	NA	NA	NA
"251"	"zg66_36m_B_resequenced_20151214_pp_50trim_CD122_R2.fastq"	"36m B reseq"	"CD122"	NA	""	""	""
"252"	"zg66_27m_B_CD85_R35_CATTTT_L007_R1_001.fastq"	"27m B"	"CD85"	NA	""	""	""
"253"	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA
"255"	"zg66_27m_GRANS_ficoll_CD85_R39_CTATAC_L007_R1_001.fastq"	"27m Gr Ficoll"	"CD85"	NA	""	""	""
"256"	"zg66_27m_MONO_CD85_R36_CCAACA_L007_R1_001.fastq"	"27m Mono"	"CD85"	NA	""	""	""
"257"	"zg66_27m_T_CD85_R34_CATGGC_L007_R1_001.fastq"	"27m T"	"CD85"	NA	""	""	""
"258"	NA	NA	NA	NA	NA	NA	NA
"259"	"zg66_36m_Gr_CD33p_GFPp_20151214_pp_50trim_CD117_R6.fastq"	"36m Gr"	"CD117"	NA	""	""	""
"260"	NA	NA	NA	NA	NA	NA	NA
"261"	"zg66_36m_Mono_20151214_pp_50trim_CD117_R3.fastq"	"36m Mono"	"CD117"	NA	""	""	""
"262"	NA	NA	NA	NA	NA	NA	NA
"263"	NA	NA	NA	NA	NA	NA	NA
"264"	"zg66_36m_T_20151214_pp_50trim_CD117_R1.fastq"	"36m T"	"CD117"	NA	""	""	""
"265"	"zg66_42m_PB_B_CD20_20160602_0606sort_fixedsample_pp_50trim_CD135_R6.fastq"	"42m B"	"CD135"	NA	""	""	""
"266"	"zg66_42m_PB_Gr_Ficoll_20160602_pp_50trim_CD135_R28.fastq"	"42m Gr Ficoll"	"CD135"	NA	""	""	""
"267"	"zg66_42m_PB_Mono_CD14p_20160602_0606sort_fixedsample_pp_50trim_CD135_R5.fastq"	"42m Mono"	"CD135"	NA	""	""	""
"268"	NA	NA	NA	NA	NA	NA	NA
"269"	NA	NA	NA	NA	NA	NA	NA
"270"	NA	NA	NA	NA	NA	NA	NA
"271"	"zg66_42m_PB_T_CD3p_20160602_0606sort_fixedsample_pp_50trim_CD135_R3.fastq"	"42m T"	"CD135"	NA	""	""	""
